pais;total_mortes_por_milhao;total_casos_por_milhao;fator_IE;PCE;PSP;CT;EEC;indice_IE;nivel_IE;casos_categoria;mortes_categoria
Tanzânia;11,39;452,87;0,8166666666666667;90,99259729349949;45,295051339219064;71,80291326660712;49,25503453500857;64,33639910858356;3-alto;1-baixo;1-baixo
Vietnã;317,74;17368,04;0,6533333333333333;46,6644271913781;26,922080264511234;47,81580823299165;40,13993462223469;40,38556257777891;2-medio;2-medio;2-medio
Camboja;174,98;7004,73;0,6966666666666667;57,13651190319651;30,120159378706646;55,49951436784121;37,08329209509398;44,95986943620959;2-medio;1-baixo;2-medio
Fiji;758,59;58616,8;0,6533333333333333;54,7240944826729;33,28937094210634;41,29131566384824;39,75614094169684;42,26523050758108;2-medio;2-medio;2-medio
Tailândia;302,43;30995,49;0,6366666666666667;47,33998239436564;23,538429856504088;47,71398541978773;34,249876504592635;38,21056854381253;2-medio;2-medio;2-medio
Uzbequistão;24,53;3342,55;0,8666666666666667;88,42744565317001;44,00500329106997;87,9183315871504;91,99124411530717;78,08550616167439;3-alto;1-baixo;1-baixo
China;4,0;92,67;0,73;66,73918644073531;32,958305813759935;60,735556723750406;31,146238832896262;47,894821952785485;2-medio;1-baixo;1-baixo
República Democrática do Congo;11,88;774,17;0,7333333333333333;62,30597780431854;30,892167416380207;63,59834427959905;56,70572307810301;53,375553144600204;3-alto;1-baixo;1-baixo
Mongólia;585,65;204703,17;0,62;51,559754749258815;30,309565476314116;36,99125993700583;24,243826976284463;35,776101784715806;1-baixo;3-alto;2-medio
Angola;49,16;2154,82;0,6366666666666667;43,225949114722695;23,4702117046671;46,96597936894356;35,371885580858894;37,258506442298064;2-medio;1-baixo;1-baixo
Uganda;69,47;3015,49;0,74;61,135015452473475;30,549165521316667;65,91677141101135;72,87205280524826;57,618251297512444;3-alto;1-baixo;1-baixo
Moçambique;60,44;5641,17;0,7733333333333333;80,70457689785741;40,79569860334503;63,895980195118184;55,71882504243426;60,278770184688724;3-alto;1-baixo;1-baixo
Nigéria;13,53;1082,29;0,8066666666666666;79,92524075064279;37,29610177469018;76,60816679742283;73,29109284420284;66,78015054173966;3-alto;1-baixo;1-baixo
Ruanda;98,72;8098,91;0,8633333333333333;85,04379524516285;45,36391489104128;84,53663931016641;60,700310365333664;68,91116495292606;3-alto;1-baixo;1-baixo
Nova Zelândia;9,83;2678,65;0,43;23,5858949525053;12,044752160296303;19,79691142270563;18,028719108799116;18,364069411076585;1-baixo;1-baixo;1-baixo
Maurício;607,89;71386,09;0,7233333333333334;64,42859183341561;27,43656117603909;64,85350626543966;44,457613528285485;50,29406820079497;2-medio;2-medio;2-medio
Brunei;133,97;33984,44;0,7233333333333334;71,22722274580035;33,05019072039515;58,90470421710303;43,6077846642374;51,69747558688398;2-medio;2-medio;1-baixo
Sri Lanka;653,85;25717,33;0,7;53,29857509781804;24,546287726644657;61,522725395057634;54,532197642403965;48,47494646548107;2-medio;2-medio;2-medio
Etiópia;55,07;3313,36;0,6766666666666666;53,90167945294893;20,081692599683983;60,26168901614756;34,02664956795327;42,06792765918344;2-medio;1-baixo;1-baixo
Cuba;752,3;87304,78;0,8633333333333333;86,56526305015218;42,285275503238886;88,08673085514151;75,40783248023047;73,08627547219076;3-alto;3-alto;2-medio
Coreia do Sul;104,6;12267,66;0,7133333333333334;58,507203619403114;24,07619216264481;65,21184424267653;39,65040186644662;46,86141047279277;2-medio;2-medio;1-baixo
Nicarágua;32,16;2015,12;0,8566666666666667;87,40530125908451;45,857833860321215;82,37290452958315;88,91502027793491;76,13776498173094;3-alto;1-baixo;1-baixo
Zâmbia;184,1;12365,12;0,7866666666666666;71,00791207120729;35,443979265616896;72,39426883559909;52,52315521264973;57,84232884626825;3-alto;2-medio;2-medio
Japão;147,12;13870,58;0,7;68,92446066257325;34,044852353944485;51,24253752350813;26,98129414665135;45,298286171669304;2-medio;2-medio;2-medio
Senegal;107,08;4241,67;0,7866666666666666;68,69731746388759;25,720257767741284;83,0230040292697;78,86393373609425;64,0761282492482;3-alto;1-baixo;1-baixo
Quênia;98,88;5386,62;0,6866666666666666;56,71747186424192;24,811478194362582;57,12084685501129;55,50734689193381;48,5392859513874;2-medio;1-baixo;1-baixo
Malásia;904,96;79494,18;0,7066666666666667;64,18578358654473;35,74216659083217;52,147194056204505;30,145633880065446;45,55519452841171;2-medio;2-medio;2-medio
Egito;192,12;3416,22;0,73;54,30309631269515;29,20037667548264;64,16620227631321;71,8851547695795;54,888707508517626;3-alto;1-baixo;2-medio
Austrália;91,65;13992,14;0,23333333333333334;7,24333343327634;4,351502878092308;4,6390191724838035;10,121786037310196;6,5889103802906615;1-baixo;2-medio;1-baixo
