pais;total_mortes_por_milhao;total_casos_por_milhao
Afeganistão;181.22;3895.11
Albânia;1130.25;73879.55
Argélia;137.35;4794.41
Samoa Americana;0;227.64
Andorra;1749.97;290203.95
Angola;49.16;2154.82
Anguila;353.01;118186.95
Antígua e Barbuda;1276.11;46366.54
Argentina;2598.17;127302.22
Armênia;2761.71;119732.9
Aruba;1679.88;177027.45
Austrália;91.65;13992.14
Áustria;1834.92;139501.4
Azerbaijão;807.03;59867.57
Bahamas;1827.77;61576.08
Bahrein;909.09;183516.72
Bangladesh;165.81;9360.57
Barbados;921.11;100294.76
Bielorrússia;601.02;76047.7
Bélgica;2425.47;180102.68
Belize;1476.5;79631.78
Benim;11.7;1820.13
Bermudas;1637.47;97800.23
Butão;3.84;3407.75
Bolívia;1620.47;48999.59
Bonaire, Santo Eustáquio e Saba;804.08;113235.91
Bósnia e Herzegovina;4161.74;90637.08
Botsuana;1001.29;91011.18
Brasil;2940.96;105866.54
Ilhas Virgens Britânicas;1018.33;85017.49
Brunei;133.97;33984.44
Bulgária;4462.36;107515.63
Burquina Fasso;14.11;783.33
Burundi;1.05;2293.36
Camboja;174.98;7004.73
Camarões;67.01;3968.7
Canadá;769.77;54157.87
Cabo Verde;677.32;78388.44
Ilhas Cayman;153.72;123228.71
República Centro-Africana;19.81;2442.93
Chade;9.81;308.91
Chile;1996.81;92297.01
China;4;92.67
Colômbia;2508.01;99321.66
Comores;184.96;7810.49
Congo;60.93;3525.57
Ilhas Cook;0;0
Costa Rica;1446.53;112355.77
Croácia;3166.3;181643.25
Cuba;752.3;87304.78
Curaçao;1004.52;109009.47
Chipre;680.92;172046.02
República Tcheca;3385.1;235860.6
República Democrática do Congo;11.88;774.17
Dinamarca;545.62;132766.8
Djibuti;166.22;11988.9
Dominica;682.2;102004.46
República Dominicana;377.56;37154.28
Timor-Leste;89.1;14487.49
Equador;1888;31309.27
Egito;192.12;3416.22
El Salvador;608.19;19384.68
Guiné Equatorial;97.03;7601.9
Eritreia;21.45;2341.17
Estônia;1350.97;168001.94
Essuatíni;1053.9;54010.55
Etiópia;55.07;3313.36
